title,stars_in_movie,critic_score,audience_score,awards_all,nomination_count,award_count,awards_won,awards_nominated,worldwide_gross,production_budget
American Wedding,,53.0,63.0,,0,0,,,232354205.0,"$55,000,000"
Gigli,Al Pacino,6.0,14.0,,0,0,,,,"$54,000,000"
S.W.A.T.,Samuel L. Jackson,48.0,52.0,,0,0,,,207154748.0,"$70,000,000"
American Splendor,Josh Hutcherson,94.0,86.0,"Oscars - WRITING (Adapted Screenplay)(Nominated)
Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture(Nominated)",2,0,,"Oscars - WRITING (Adapted Screenplay)(Nominated)
Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture(Nominated)",,"$2,000,000"
Freddy vs. Jason,,42.0,50.0,,0,0,,,114576403.0,"$25,000,000"
Open Range,,79.0,84.0,,0,0,,,68613992.0,"$26,000,000"
Thirteen,,81.0,77.0,"Oscars - ACTRESS IN A SUPPORTING ROLE(Nominated)
Golden Globes - Best Performance by an Actress in a Motion Picture - Drama(Nominated)
Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture(Nominated)",3,0,,"Oscars - ACTRESS IN A SUPPORTING ROLE(Nominated)
Golden Globes - Best Performance by an Actress in a Motion Picture - Drama(Nominated)
Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture(Nominated)",,"$2,000,000"
Marci X,,8.0,29.0,,0,0,,,,"$20,000,000"
My Boss's Daughter,,8.0,23.0,,0,0,,,,"$14,000,000"
Jeepers Creepers 2,,24.0,37.0,,0,0,,,119923801.0,"$25,000,000"
Dickie Roberts: Former Child Star,,22.0,46.0,,0,0,,,23734486.0,"$17,000,000"
The Order,Heath Ledger,13.0,28.0,,0,0,,,,"$35,000,000"
Party Monster,,29.0,75.0,,0,0,,,,"$5,000,000"
Lost in Translation,Scarlett Johansson,95.0,85.0,"Oscars - ACTOR IN A LEADING ROLE(Nominated)
Oscars - DIRECTING(Nominated)
Oscars - BEST PICTURE(Nominated)
Oscars - WRITING (Original Screenplay)(Won)
Golden Globes - Best Motion Picture - Musical or Comedy(Won)
Golden Globes - Best Performance by an Actress in a Motion Picture - Musical or Comedy(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy(Won)
Golden Globes - Best Director - Motion Picture(Nominated)
Golden Globes - Best Screenplay - Motion Picture(Won)",9,4,"Oscars - WRITING (Original Screenplay)(Won)
Golden Globes - Best Motion Picture - Musical or Comedy(Won)
Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy(Won)
Golden Globes - Best Screenplay - Motion Picture(Won)","Oscars - ACTOR IN A LEADING ROLE(Nominated)
Oscars - DIRECTING(Nominated)
Oscars - BEST PICTURE(Nominated)
Golden Globes - Best Performance by an Actress in a Motion Picture - Musical or Comedy(Nominated)
Golden Globes - Best Director - Motion Picture(Nominated)",117085297.0,"$4,000,000"
Once Upon a Time in Mexico,"Willem Dafoe, Johnny Depp",66.0,64.0,,0,0,,,97413527.0,"$29,000,000"
Anything Else,,40.0,44.0,,0,0,,,,"$18,000,000"
Secondhand Lions,Michael Caine,60.0,84.0,,0,0,,,47902566.0,"$30,000,000"
Duplex,,35.0,40.0,,0,0,,,,"$40,000,000"
The Rundown,Dwayne Johnson,70.0,66.0,,0,0,,,80831893.0,"$85,000,000"
Under the Tuscan Sun,,62.0,78.0,,0,0,,,57490024.0,"$18,000,000"
Out of Time,Denzel Washington,64.0,58.0,,0,0,,,55489826.0,"$50,000,000"
Intolerable Cruelty,George Clooney,76.0,48.0,,0,0,,,121327628.0,"$60,000,000"
Mystic River,,89.0,89.0,"Oscars - ACTOR IN A LEADING ROLE(Won)
Oscars - ACTOR IN A SUPPORTING ROLE(Won)
Oscars - ACTRESS IN A SUPPORTING ROLE(Nominated)
Oscars - DIRECTING(Nominated)
Oscars - BEST PICTURE(Nominated)
Oscars - WRITING (Adapted Screenplay)(Nominated)
Golden Globes - Best Motion Picture - Drama(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama(Won)
Golden Globes - Best Performance by an Actor in a Supporting Role in any Motion Picture(Won)
Golden Globes - Best Director - Motion Picture(Nominated)
Golden Globes - Best Screenplay - Motion Picture(Nominated)",11,4,"Oscars - ACTOR IN A LEADING ROLE(Won)
Oscars - ACTOR IN A SUPPORTING ROLE(Won)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama(Won)
Golden Globes - Best Performance by an Actor in a Supporting Role in any Motion Picture(Won)","Oscars - ACTRESS IN A SUPPORTING ROLE(Nominated)
Oscars - DIRECTING(Nominated)
Oscars - BEST PICTURE(Nominated)
Oscars - WRITING (Adapted Screenplay)(Nominated)
Golden Globes - Best Motion Picture - Drama(Nominated)
Golden Globes - Best Director - Motion Picture(Nominated)
Golden Globes - Best Screenplay - Motion Picture(Nominated)",156822020.0,"$30,000,000"
The Texas Chainsaw Massacre,,37.0,58.0,,0,0,,,107967319.0,"$9,000,000"
Veronica Guerin,,53.0,69.0,Golden Globes - Best Performance by an Actress in a Motion Picture - Drama(Nominated),1,0,,Golden Globes - Best Performance by an Actress in a Motion Picture - Drama(Nominated),,"$17,000,000"
In the Cut,Mark Ruffalo,34.0,34.0,,0,0,,,23693646.0,"$12,000,000"
Beyond Borders,,14.0,72.0,,0,0,,,,"$60,000,000"
Radio,,35.0,79.0,,0,0,,,53293628.0,"$35,000,000"
Scary Movie 3,Kevin Hart,35.0,54.0,,0,0,,,155200000.0,"$45,000,000"
The Singing Detective,"Robert Downey Jr., Adrien Brody",39.0,40.0,,0,0,,,,"$8,000,000"
Shattered Glass,,92.0,79.0,Golden Globes - Best Performance by an Actor in a Supporting Role in any Motion Picture(Nominated),1,0,,Golden Globes - Best Performance by an Actor in a Supporting Role in any Motion Picture(Nominated),,"$6,000,000"
Brother Bear,,37.0,66.0,Oscars - ANIMATED FEATURE FILM(Nominated),1,0,,Oscars - ANIMATED FEATURE FILM(Nominated),250397798.0,"$46,000,000"
Love Actually,Liam Neeson,64.0,72.0,"Golden Globes - Best Motion Picture - Musical or Comedy(Nominated)
Golden Globes - Best Screenplay - Motion Picture(Nominated)",2,0,,"Golden Globes - Best Motion Picture - Musical or Comedy(Nominated)
Golden Globes - Best Screenplay - Motion Picture(Nominated)",246479647.0,"$45,000,000"
Looney Tunes: Back in Action,,57.0,50.0,,0,0,,,54540662.0,"$80,000,000"
Master and Commander: The Far Side of the World,,85.0,80.0,"Oscars - ART DIRECTION(Nominated)
Oscars - CINEMATOGRAPHY(Won)
Oscars - COSTUME DESIGN(Nominated)
Oscars - DIRECTING(Nominated)
Oscars - FILM EDITING(Nominated)
Oscars - MAKEUP(Nominated)
Oscars - BEST PICTURE(Nominated)
Oscars - SOUND EDITING(Won)
Oscars - SOUND MIXING(Nominated)
Oscars - VISUAL EFFECTS(Nominated)
Golden Globes - Best Motion Picture - Drama(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama(Nominated)
Golden Globes - Best Director - Motion Picture(Nominated)",13,2,"Oscars - CINEMATOGRAPHY(Won)
Oscars - SOUND EDITING(Won)","Oscars - ART DIRECTION(Nominated)
Oscars - COSTUME DESIGN(Nominated)
Oscars - DIRECTING(Nominated)
Oscars - FILM EDITING(Nominated)
Oscars - MAKEUP(Nominated)
Oscars - BEST PICTURE(Nominated)
Oscars - SOUND MIXING(Nominated)
Oscars - VISUAL EFFECTS(Nominated)
Golden Globes - Best Motion Picture - Drama(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama(Nominated)
Golden Globes - Best Director - Motion Picture(Nominated)",,"$135,000,000"
21 Grams,,81.0,86.0,"Oscars - ACTOR IN A SUPPORTING ROLE(Nominated)
Oscars - ACTRESS IN A LEADING ROLE(Nominated)",2,0,,"Oscars - ACTOR IN A SUPPORTING ROLE(Nominated)
Oscars - ACTRESS IN A LEADING ROLE(Nominated)",59667625.0,"$20,000,000"
Gothika,Robert Downey Jr.,15.0,45.0,,0,0,,,141484812.0,"$40,000,000"
Bad Santa,,78.0,75.0,Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy(Nominated),1,0,,Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy(Nominated),77147031.0,"$18,000,000"
The Cooler,,77.0,69.0,Oscars - ACTOR IN A SUPPORTING ROLE(Nominated),1,0,,Oscars - ACTOR IN A SUPPORTING ROLE(Nominated),,"$4,000,000"
The Haunted Mansion,,13.0,31.0,,0,0,,,155750628.0,"$90,000,000"
Timeline,,13.0,45.0,,0,0,,,26703184.0,"$80,000,000"
Honey,,21.0,71.0,,0,0,,,62646763.0,"$18,000,000"
The Last Samurai,,66.0,83.0,"Oscars - ACTOR IN A SUPPORTING ROLE(Nominated)
Oscars - ART DIRECTION(Nominated)
Oscars - COSTUME DESIGN(Nominated)
Oscars - SOUND MIXING(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama(Nominated)
Golden Globes - Best Performance by an Actor in a Supporting Role in any Motion Picture(Nominated)
Golden Globes - Best Original Score - Motion Picture(Nominated)",7,0,,"Oscars - ACTOR IN A SUPPORTING ROLE(Nominated)
Oscars - ART DIRECTION(Nominated)
Oscars - COSTUME DESIGN(Nominated)
Oscars - SOUND MIXING(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama(Nominated)
Golden Globes - Best Performance by an Actor in a Supporting Role in any Motion Picture(Nominated)
Golden Globes - Best Original Score - Motion Picture(Nominated)",456810575.0,"$140,000,000"
Something's Gotta Give,,72.0,69.0,"Oscars - ACTRESS IN A LEADING ROLE(Nominated)
Golden Globes - Best Performance by an Actress in a Motion Picture - Musical or Comedy(Won)
Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy(Nominated)",3,1,Golden Globes - Best Performance by an Actress in a Motion Picture - Musical or Comedy(Won),"Oscars - ACTRESS IN A LEADING ROLE(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy(Nominated)",266685242.0,"$80,000,000"
My Life Without Me,Mark Ruffalo,65.0,87.0,,0,0,,,,"$2,500,000"
Calendar Girls,,74.0,67.0,Golden Globes - Best Performance by an Actress in a Motion Picture - Musical or Comedy(Nominated),1,0,,Golden Globes - Best Performance by an Actress in a Motion Picture - Musical or Comedy(Nominated),93074616.0,"$10,000,000"
House of Sand and Fog,Ben Kingsley,74.0,83.0,"Oscars - ACTOR IN A LEADING ROLE(Nominated)
Oscars - ACTRESS IN A SUPPORTING ROLE(Nominated)
Oscars - MUSIC (Original Score)(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama(Nominated)",4,0,,"Oscars - ACTOR IN A LEADING ROLE(Nominated)
Oscars - ACTRESS IN A SUPPORTING ROLE(Nominated)
Oscars - MUSIC (Original Score)(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama(Nominated)",,"$16,500,000"
Mona Lisa Smile,Kirsten Dunst,34.0,60.0,Golden Globes - Best Original Song - Motion Picture(Nominated),1,0,,Golden Globes - Best Original Song - Motion Picture(Nominated),141205169.0,"$65,000,000"
Monster,,82.0,81.0,"Oscars - ACTRESS IN A LEADING ROLE(Won)
Golden Globes - Best Performance by an Actress in a Motion Picture - Drama(Won)",2,2,"Oscars - ACTRESS IN A LEADING ROLE(Won)
Golden Globes - Best Performance by an Actress in a Motion Picture - Drama(Won)",,64200321.0,"$5,000,000"
Cold Mountain,"Nicole Kidman, Natalie Portman",70.0,77.0,"Oscars - ACTOR IN A LEADING ROLE(Nominated)
Oscars - ACTRESS IN A SUPPORTING ROLE(Won)
Oscars - CINEMATOGRAPHY(Nominated)
Oscars - FILM EDITING(Nominated)
Oscars - MUSIC (Original Score)(Nominated)
Oscars - MUSIC (Original Song)(Nominated)
Oscars - MUSIC (Original Song)(Nominated)
Golden Globes - Best Motion Picture - Drama(Nominated)
Golden Globes - Best Performance by an Actress in a Motion Picture - Drama(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama(Nominated)
Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture(Won)
Golden Globes - Best Director - Motion Picture(Nominated)
Golden Globes - Best Screenplay - Motion Picture(Nominated)
Golden Globes - Best Original Score - Motion Picture(Nominated)
Golden Globes - Best Original Song - Motion Picture(Nominated)",15,2,"Oscars - ACTRESS IN A SUPPORTING ROLE(Won)
Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture(Won)","Oscars - ACTOR IN A LEADING ROLE(Nominated)
Oscars - CINEMATOGRAPHY(Nominated)
Oscars - FILM EDITING(Nominated)
Oscars - MUSIC (Original Score)(Nominated)
Oscars - MUSIC (Original Song)(Nominated)
Oscars - MUSIC (Original Song)(Nominated)
Golden Globes - Best Motion Picture - Drama(Nominated)
Golden Globes - Best Performance by an Actress in a Motion Picture - Drama(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama(Nominated)
Golden Globes - Best Director - Motion Picture(Nominated)
Golden Globes - Best Screenplay - Motion Picture(Nominated)
Golden Globes - Best Original Score - Motion Picture(Nominated)
Golden Globes - Best Original Song - Motion Picture(Nominated)",165173909.0,"$80,000,000"
Paycheck,Uma Thurman,27.0,45.0,,0,0,,,98819789.0,"$60,000,000"
Shrek 2,"Mike Myers, Cameron Diaz",89.0,69.0,"Oscars - ANIMATED FEATURE FILM(Nominated)
Oscars - MUSIC (Original Song)(Nominated)
Golden Globes - Best Original Song - Motion Picture(Nominated)",3,0,,"Oscars - ANIMATED FEATURE FILM(Nominated)
Oscars - MUSIC (Original Song)(Nominated)
Golden Globes - Best Original Song - Motion Picture(Nominated)",933848612.0,"$70,000,000"
Spider-Man 2,"Kirsten Dunst, Willem Dafoe, Tobey Maguire",93.0,82.0,"Oscars - SOUND EDITING(Nominated)
Oscars - SOUND MIXING(Nominated)
Oscars - VISUAL EFFECTS(Won)",3,1,Oscars - VISUAL EFFECTS(Won),"Oscars - SOUND EDITING(Nominated)
Oscars - SOUND MIXING(Nominated)",795888127.0,"$200,000,000"
The Passion of the Christ,,49.0,80.0,"Oscars - CINEMATOGRAPHY(Nominated)
Oscars - MAKEUP(Nominated)
Oscars - MUSIC (Original Score)(Nominated)",3,0,,"Oscars - CINEMATOGRAPHY(Nominated)
Oscars - MAKEUP(Nominated)
Oscars - MUSIC (Original Score)(Nominated)",622313635.0,"$25,000,000"
Meet the Fockers,Robert De Niro,39.0,58.0,,0,0,,,516567575.0,"$60,000,000"
The Incredibles,Samuel L. Jackson,97.0,75.0,"Oscars - ANIMATED FEATURE FILM(Won)
Oscars - SOUND EDITING(Won)
Oscars - SOUND MIXING(Nominated)
Oscars - WRITING (Original Screenplay)(Nominated)",4,2,"Oscars - ANIMATED FEATURE FILM(Won)
Oscars - SOUND EDITING(Won)","Oscars - SOUND MIXING(Nominated)
Oscars - WRITING (Original Screenplay)(Nominated)",631441092.0,"$92,000,000"
Harry Potter and the Prisoner of Azkaban,"Emma Watson, Rupert Grint, Daniel Radcliffe, Gary Oldman",90.0,86.0,"Oscars - MUSIC (Original Score)(Nominated)
Oscars - VISUAL EFFECTS(Nominated)",2,0,,"Oscars - MUSIC (Original Score)(Nominated)
Oscars - VISUAL EFFECTS(Nominated)",784234714.0,"$130,000,000"
The Day After Tomorrow,Jake Gyllenhaal,45.0,50.0,,0,0,,,555840117.0,"$125,000,000"
The Bourne Supremacy,Matt Damon,82.0,90.0,,0,0,,,311001124.0,"$85,000,000"
National Treasure,,46.0,76.0,,0,0,,,331323410.0,"$100,000,000"
The Polar Express,Tom Hanks,56.0,64.0,"Oscars - MUSIC (Original Song)(Nominated)
Oscars - SOUND EDITING(Nominated)
Oscars - SOUND MIXING(Nominated)
Golden Globes - Best Original Song - Motion Picture(Nominated)",4,0,,"Oscars - MUSIC (Original Song)(Nominated)
Oscars - SOUND EDITING(Nominated)
Oscars - SOUND MIXING(Nominated)
Golden Globes - Best Original Song - Motion Picture(Nominated)",320838625.0,"$170,000,000"
Chasing Liberty,,18.0,60.0,,0,0,,,,"$23,000,000"
My Baby's Daddy,,6.0,50.0,,0,0,,,,"$12,000,000"
Along Came Polly,Kevin Hart,27.0,47.0,,0,0,,,173044410.0,"$42,000,000"
D.E.B.S.,,42.0,56.0,,0,0,,,,"$3,500,000"
The Butterfly Effect,,34.0,81.0,,0,0,,,95638592.0,"$13,000,000"
The Big Bounce,,15.0,24.0,,0,0,,,,"$50,000,000"
You Got Served,,14.0,69.0,,0,0,,,50811858.0,"$8,000,000"
Barbershop 2: Back in Business,,69.0,48.0,,0,0,,,65842412.0,"$18,000,000"
Catch That Kid,,13.0,47.0,,0,0,,,,"$18,000,000"
Miracle,,81.0,90.0,,0,0,,,64474705.0,"$28,000,000"
50 First Dates,Adam Sandler,45.0,65.0,,0,0,,,196320329.0,"$75,000,000"
Against the Ropes,,12.0,29.0,,0,0,,,,"$39,000,000"
Confessions of a Teenage Drama Queen,,14.0,35.0,,0,0,,,33118854.0,"$15,000,000"
Eurotrip,,47.0,75.0,,0,0,,,20718223.0,"$25,000,000"
Welcome to Mooseport,,13.0,19.0,,0,0,,,,"$26,000,000"
Twisted,,2.0,31.0,,0,0,,,40119848.0,"$50,000,000"
Hidalgo,Viggo Mortensen,46.0,64.0,,0,0,,,108086731.0,"$78,000,000"
Starsky & Hutch,,63.0,49.0,Golden Globes - Best Television Series - Drama(Nominated),1,0,,Golden Globes - Best Television Series - Drama(Nominated),170200225.0,"$60,000,000"
Agent Cody Banks 2: Destination London,,13.0,31.0,,0,0,,,28703083.0,"$26,000,000"
Secret Window,Johnny Depp,45.0,65.0,,0,0,,,92110539.0,"$40,000,000"
Eternal Sunshine of the Spotless Mind,"Mark Ruffalo, Kirsten Dunst, Elijah Wood",92.0,94.0,"Oscars - ACTRESS IN A LEADING ROLE(Nominated)
Oscars - WRITING (Original Screenplay)(Won)",2,1,Oscars - WRITING (Original Screenplay)(Won),Oscars - ACTRESS IN A LEADING ROLE(Nominated),72401378.0,"$20,000,000"
Jersey Girl,"Will Smith, Matt Damon",43.0,48.0,,0,0,,,37066129.0,"$35,000,000"
The Ladykillers,Tom Hanks,54.0,43.0,"Oscars - WRITING (Screenplay--Original)(Nominated)
BAFTAs - Film | British Film in 1956(Nominated)
BAFTAs - Film | British Screenplay in 1956(Won)
BAFTAs - Film | Film From Any Source in 1956(Nominated)",4,1,BAFTAs - Film | British Screenplay in 1956(Won),"Oscars - WRITING (Screenplay--Original)(Nominated)
BAFTAs - Film | British Film in 1956(Nominated)
BAFTAs - Film | Film From Any Source in 1956(Nominated)",77392139.0,"$35,000,000"
Hellboy,,81.0,66.0,,0,0,,,99823958.0,"$60,000,000"
Hellboy,,81.0,66.0,,0,0,,,99823958.0,"$50,000,000"
Home on the Range,,52.0,29.0,,0,0,,,76482461.0,"$110,000,000"
The Prince & Me,,29.0,59.0,,0,0,,,30089110.0,"$30,000,000"
Johnson Family Vacation,,6.0,44.0,,0,0,,,31286759.0,"$12,000,000"
The Alamo,,29.0,46.0,"Oscars - ACTOR IN A SUPPORTING ROLE(Nominated)
Oscars - CINEMATOGRAPHY (Color)(Nominated)
Oscars - FILM EDITING(Nominated)
Oscars - MUSIC (Music Score of a Dramatic or Comedy Picture)(Nominated)
Oscars - MUSIC (Song)(Nominated)
Oscars - BEST MOTION PICTURE(Nominated)
Oscars - SOUND(Won)
Golden Globes - Best Original Score - Motion Picture(Won)",8,2,"Oscars - SOUND(Won)
Golden Globes - Best Original Score - Motion Picture(Won)","Oscars - ACTOR IN A SUPPORTING ROLE(Nominated)
Oscars - CINEMATOGRAPHY (Color)(Nominated)
Oscars - FILM EDITING(Nominated)
Oscars - MUSIC (Music Score of a Dramatic or Comedy Picture)(Nominated)
Oscars - MUSIC (Song)(Nominated)
Oscars - BEST MOTION PICTURE(Nominated)",23911362.0,"$92,000,000"
The Alamo,,29.0,46.0,"Oscars - ACTOR IN A SUPPORTING ROLE(Nominated)
Oscars - CINEMATOGRAPHY (Color)(Nominated)
Oscars - FILM EDITING(Nominated)
Oscars - MUSIC (Music Score of a Dramatic or Comedy Picture)(Nominated)
Oscars - MUSIC (Song)(Nominated)
Oscars - BEST MOTION PICTURE(Nominated)
Oscars - SOUND(Won)
Golden Globes - Best Original Score - Motion Picture(Won)",8,2,"Oscars - SOUND(Won)
Golden Globes - Best Original Score - Motion Picture(Won)","Oscars - ACTOR IN A SUPPORTING ROLE(Nominated)
Oscars - CINEMATOGRAPHY (Color)(Nominated)
Oscars - FILM EDITING(Nominated)
Oscars - MUSIC (Music Score of a Dramatic or Comedy Picture)(Nominated)
Oscars - MUSIC (Song)(Nominated)
Oscars - BEST MOTION PICTURE(Nominated)",23911362.0,"$12,000,000"
Ella Enchanted,,51.0,57.0,,0,0,,,24200318.0,"$35,000,000"
The Whole Ten Yards,,4.0,40.0,,0,0,,,26323969.0,"$30,000,000"
Connie and Carla,,44.0,70.0,,0,0,,,,"$20,000,000"
Man on Fire,Denzel Washington,39.0,89.0,,0,0,,,130968579.0,"$60,000,000"
Bobby Jones: Stroke of Genius,,27.0,62.0,,0,0,,,,"$17,000,000"
Godsend,Robert De Niro,4.0,20.0,,0,0,,,,"$30,000,000"
Laws of Attraction,,18.0,47.0,,0,0,,,29939591.0,"$32,000,000"
Mean Girls,"Rachel McAdams, Amy Poehler",84.0,66.0,,0,0,,,130125378.0,"$36,000,000"
Mean Girls,"Rachel McAdams, Amy Poehler",84.0,66.0,,0,0,,,130125378.0,"$18,000,000"
New York Minute,,11.0,47.0,,0,0,,,21156715.0,"$40,000,000"
Van Helsing,,24.0,57.0,,0,0,,,300150546.0,"$170,000,000"
Breakin' All the Rules,,31.0,57.0,,0,0,,,,"$9,000,000"
Troy,Brad Pitt,53.0,73.0,Oscars - COSTUME DESIGN(Nominated),1,0,,Oscars - COSTUME DESIGN(Nominated),483152040.0,"$150,000,000"
Raising Helen,,25.0,61.0,,0,0,,,49842431.0,"$50,000,000"
Saved!,,61.0,78.0,,0,0,,,,"$5,000,000"
Soul Plane,Kevin Hart,18.0,51.0,,0,0,,,,"$16,000,000"
The Chronicles of Riddick,,29.0,65.0,,0,0,,,107212751.0,"$120,000,000"
Garfield: The Movie,,14.0,38.0,,0,0,,,208094550.0,"$50,000,000"
Around the World in 80 Days,,32.0,34.0,"Oscars - ART DIRECTION (Color)(Nominated)
Oscars - CINEMATOGRAPHY (Color)(Won)
Oscars - COSTUME DESIGN (Color)(Nominated)
Oscars - DIRECTING(Nominated)
Oscars - FILM EDITING(Won)
Oscars - MUSIC (Music Score of a Dramatic or Comedy Picture)(Won)
Oscars - BEST MOTION PICTURE(Won)
Oscars - WRITING (Screenplay--Adapted)(Won)
Golden Globes - Best Motion Picture - Drama(Won)
Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy(Won)
Golden Globes - Best Director - Motion Picture(Nominated)",11,7,"Oscars - CINEMATOGRAPHY (Color)(Won)
Oscars - FILM EDITING(Won)
Oscars - MUSIC (Music Score of a Dramatic or Comedy Picture)(Won)
Oscars - BEST MOTION PICTURE(Won)
Oscars - WRITING (Screenplay--Adapted)(Won)
Golden Globes - Best Motion Picture - Drama(Won)
Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy(Won)","Oscars - ART DIRECTION (Color)(Nominated)
Oscars - COSTUME DESIGN (Color)(Nominated)
Oscars - DIRECTING(Nominated)
Golden Globes - Best Director - Motion Picture(Nominated)",72004159.0,"$110,000,000"
Around the World in 80 Days,,32.0,34.0,"Oscars - ART DIRECTION (Color)(Nominated)
Oscars - CINEMATOGRAPHY (Color)(Won)
Oscars - COSTUME DESIGN (Color)(Nominated)
Oscars - DIRECTING(Nominated)
Oscars - FILM EDITING(Won)
Oscars - MUSIC (Music Score of a Dramatic or Comedy Picture)(Won)
Oscars - BEST MOTION PICTURE(Won)
Oscars - WRITING (Screenplay--Adapted)(Won)
Golden Globes - Best Motion Picture - Drama(Won)
Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy(Won)
Golden Globes - Best Director - Motion Picture(Nominated)",11,7,"Oscars - CINEMATOGRAPHY (Color)(Won)
Oscars - FILM EDITING(Won)
Oscars - MUSIC (Music Score of a Dramatic or Comedy Picture)(Won)
Oscars - BEST MOTION PICTURE(Won)
Oscars - WRITING (Screenplay--Adapted)(Won)
Golden Globes - Best Motion Picture - Drama(Won)
Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy(Won)","Oscars - ART DIRECTION (Color)(Nominated)
Oscars - COSTUME DESIGN (Color)(Nominated)
Oscars - DIRECTING(Nominated)
Golden Globes - Best Director - Motion Picture(Nominated)",72004159.0,"$6,000,000"
Dodgeball: A True Underdog Story,,71.0,76.0,,0,0,,,167791704.0,"$30,000,000"
White Chicks,,15.0,55.0,,0,0,,,111448997.0,"$20,000,000"
Fahrenheit 9/11,Robert De Niro,82.0,70.0,,0,0,,,221148959.0,"$6,000,000"
The Notebook,"Ryan Gosling, Rachel McAdams",54.0,85.0,,0,0,,,116223302.0,"$30,000,000"
Two Brothers,,78.0,75.0,,0,0,,,62176754.0,"$72,000,000"
Before Sunset,,94.0,92.0,Oscars - WRITING (Adapted Screenplay)(Nominated),1,0,,Oscars - WRITING (Adapted Screenplay)(Nominated),,"$2,000,000"
De-Lovely,,48.0,66.0,"Golden Globes - Best Performance by an Actress in a Motion Picture - Musical or Comedy(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy(Nominated)",2,0,,"Golden Globes - Best Performance by an Actress in a Motion Picture - Musical or Comedy(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy(Nominated)",18524496.0,"$15,000,000"
Anchorman: The Legend of Ron Burgundy,,66.0,86.0,,0,0,,,89476265.0,"$25,000,000"
Sleepover,,15.0,54.0,,0,0,,,,"$10,000,000"
A Cinderella Story,,11.0,53.0,,0,0,,,70112484.0,"$19,000,000"
"I, Robot",Will Smith,57.0,70.0,Oscars - VISUAL EFFECTS(Nominated),1,0,,Oscars - VISUAL EFFECTS(Nominated),348629585.0,"$105,000,000"
Catwoman,,8.0,18.0,,0,0,,,82078046.0,"$100,000,000"
A Home at the End of the World,,50.0,67.0,,0,0,,,,"$6,500,000"
Garden State,Natalie Portman,86.0,88.0,,0,0,,,36028802.0,"$2,500,000"
Harold & Kumar Go to White Castle,Ryan Reynolds,75.0,80.0,,0,0,,,19474552.0,"$9,000,000"
The Manchurian Candidate,"Denzel Washington, Meryl Streep",80.0,63.0,"Oscars - ACTRESS IN A SUPPORTING ROLE(Nominated)
Oscars - FILM EDITING(Nominated)
BAFTAs - Film | Film From Any Source in 1963(Nominated)",3,0,,"Oscars - ACTRESS IN A SUPPORTING ROLE(Nominated)
Oscars - FILM EDITING(Nominated)
BAFTAs - Film | Film From Any Source in 1963(Nominated)",96135872.0,"$80,000,000"
Thunderbirds,Ben Kingsley,19.0,37.0,,0,0,,,28231444.0,"$55,000,000"
The Village,"Joaquin Phoenix, Sigourney Weaver, Adrien Brody",44.0,57.0,"Oscars - SHORT FILM (Animated)(Nominated)
Oscars - MUSIC (Original Score)(Nominated)
BAFTAs - Film | Short Animation in 1994(Nominated)",3,0,,"Oscars - SHORT FILM (Animated)(Nominated)
Oscars - MUSIC (Original Score)(Nominated)
BAFTAs - Film | Short Animation in 1994(Nominated)",257641634.0,"$71,682,975"
