title,genres,critic_score,audience_score,awards_all,nomination_count,award_count,awards_won,awards_nominated,worldwide_gross
death becomes her,"Comedy,Fantasy,Horror",55%,62%,"Oscars - VISUAL EFFECTS (Won)
Golden Globes - Best Performance by an Actress in a Motion Picture - Musical or Comedy (Nominated)",2,1,Oscars - VISUAL EFFECTS (Won),Golden Globes - Best Performance by an Actress in a Motion Picture - Musical or Comedy (Nominated),"$149,022,650"
deep cover,"Action,Crime,Thriller",,,,0,0,,,
diggstown,"Drama,Sport",60%,78%,,0,0,,,
the distinguished gentleman,"Comedy,Crime",13%,37%,,0,0,,,"$46,434,570"
dr. giggles,"Comedy,Drama,Horror",23%,42%,,0,0,,,
encino man,Comedy,14%,56%,,0,0,,,"$40,057,130"
excessive force,Action,20%,36%,,0,0,,,
falling from grace,"Drama,Music",78%,43%,,0,0,,,
far and away,"Adventure,Drama,Romance",50%,62%,,0,0,,,"$58,883,840"
damage,"Drama,Romance",81%,73%,"Oscars - ACTRESS IN A SUPPORTING ROLE (Nominated)
Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture (Nominated)",2,0,,"Oscars - ACTRESS IN A SUPPORTING ROLE (Nominated)
Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture (Nominated)",
final analysis,"Drama,Thriller",56%,44%,,0,0,,,"$28,590,665"
the burning season,"Drama,Thriller",,,"Golden Globes - Best Television Limited Series or Motion Picture Made for Television (Won)
Golden Globes - Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television (Won)
Golden Globes - Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television (Nominated)
Golden Globes - Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television (Won)",4,3,"Golden Globes - Best Television Limited Series or Motion Picture Made for Television (Won)
Golden Globes - Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television (Won)
Golden Globes - Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television (Won)","Golden Globes - Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television (Nominated)",
folks!,"Comedy,Drama",0%,53%,,0,0,,,
freejack,"Action,Crime,Sci-Fi",25%,25%,,0,0,,,
frozen assets,Comedy,0%,25%,,0,0,,,
gladiator,"Action,Drama,Sport",80%,87%,"Oscars - ACTOR IN A LEADING ROLE (Won)
Oscars - ACTOR IN A SUPPORTING ROLE (Nominated)
Oscars - ART DIRECTION (Nominated)
Oscars - CINEMATOGRAPHY (Nominated)
Oscars - COSTUME DESIGN (Won)
Oscars - DIRECTING (Nominated)
Oscars - FILM EDITING (Nominated)
Oscars - MUSIC (Original Score) (Nominated)
Oscars - BEST PICTURE (Won)
Oscars - SOUND (Won)
Oscars - VISUAL EFFECTS (Won)
Oscars - WRITING (Screenplay Written Directly for the Screen) (Nominated)
BAFTAs - Film | Anthony Asquith Award for Original Film Music in 2001 (Nominated)
BAFTAs - Film | Cinematography in 2001 (Won)
BAFTAs - Film | Costume Design in 2001 (Nominated)
BAFTAs - Film | David Lean Award for Achievement in Direction in 2001 (Nominated)
BAFTAs - Film | Editing in 2001 (Won)
BAFTAs - Film | Film in 2001 (Won)
BAFTAs - Film | Make-Up And Hair in 2001 (Nominated)
BAFTAs - Film | Orange Film Of The Year in 2001 (Won)
BAFTAs - Film | Original Screenplay in 2001 (Nominated)
BAFTAs - Film | Production Design in 2001 (Won)
BAFTAs - Film | Sound in 2001 (Nominated)
Golden Globes - Best Motion Picture - Drama (Won)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama (Nominated)
Golden Globes - Best Performance by an Actor in a Supporting Role in any Motion Picture (Nominated)
Golden Globes - Best Director - Motion Picture (Nominated)
Golden Globes - Best Original Score - Motion Picture (Won)
Golden Globes - Best Original Score - Motion Picture (Won)",29,13,"Oscars - ACTOR IN A LEADING ROLE (Won)
Oscars - COSTUME DESIGN (Won)
Oscars - BEST PICTURE (Won)
Oscars - SOUND (Won)
Oscars - VISUAL EFFECTS (Won)
BAFTAs - Film | Cinematography in 2001 (Won)
BAFTAs - Film | Editing in 2001 (Won)
BAFTAs - Film | Film in 2001 (Won)
BAFTAs - Film | Orange Film Of The Year in 2001 (Won)
BAFTAs - Film | Production Design in 2001 (Won)
Golden Globes - Best Motion Picture - Drama (Won)
Golden Globes - Best Original Score - Motion Picture (Won)
Golden Globes - Best Original Score - Motion Picture (Won)","Oscars - ACTOR IN A SUPPORTING ROLE (Nominated)
Oscars - ART DIRECTION (Nominated)
Oscars - CINEMATOGRAPHY (Nominated)
Oscars - DIRECTING (Nominated)
Oscars - FILM EDITING (Nominated)
Oscars - MUSIC (Original Score) (Nominated)
Oscars - WRITING (Screenplay Written Directly for the Screen) (Nominated)
BAFTAs - Film | Anthony Asquith Award for Original Film Music in 2001 (Nominated)
BAFTAs - Film | Costume Design in 2001 (Nominated)
BAFTAs - Film | David Lean Award for Achievement in Direction in 2001 (Nominated)
BAFTAs - Film | Make-Up And Hair in 2001 (Nominated)
BAFTAs - Film | Original Screenplay in 2001 (Nominated)
BAFTAs - Film | Sound in 2001 (Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama (Nominated)
Golden Globes - Best Performance by an Actor in a Supporting Role in any Motion Picture (Nominated)
Golden Globes - Best Director - Motion Picture (Nominated)","$451,683,599"
glengarry glen ross,"Crime,Drama,Mystery",95%,88%,"Oscars - ACTOR IN A SUPPORTING ROLE (Nominated)
Golden Globes - Best Performance by an Actor in a Supporting Role in any Motion Picture (Nominated)",2,0,,"Oscars - ACTOR IN A SUPPORTING ROLE (Nominated)
Golden Globes - Best Performance by an Actor in a Supporting Role in any Motion Picture (Nominated)",
the gun in betty lou's handbag,"Comedy,Mystery",14%,25%,,0,0,,,
hellraiser iii: hell on earth,Horror,38%,35%,,0,0,,,
hoffa,"Biography,Crime,Drama",52%,58%,"Oscars - CINEMATOGRAPHY (Nominated)
Oscars - MAKEUP (Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama (Nominated)",3,0,,"Oscars - CINEMATOGRAPHY (Nominated)
Oscars - MAKEUP (Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama (Nominated)","$28,391,473"
home alone 2: lost in new york,"Adventure,Comedy,Crime",35%,62%,,0,0,,,"$358,994,850"
"honey, i blew up the kid","Adventure,Comedy,Family",40%,24%,,0,0,,,
honeymoon in vegas,"Comedy,Romance,Thriller",64%,36%,,0,0,,,"$35,208,854"
housesitter,"Comedy,Romance",36%,47%,,0,0,,,
howards end,"Drama,Romance",94%,81%,"Oscars - ACTRESS IN A LEADING ROLE (Won)
Oscars - ACTRESS IN A SUPPORTING ROLE (Nominated)
Oscars - ART DIRECTION (Won)
Oscars - CINEMATOGRAPHY (Nominated)
Oscars - COSTUME DESIGN (Nominated)
Oscars - DIRECTING (Nominated)
Oscars - MUSIC (Original Score) (Nominated)
Oscars - BEST PICTURE (Nominated)
Oscars - WRITING (Screenplay Based on Material Previously Produced or Published) (Won)
BAFTAs - Film | Adapted Screenplay in 1993 (Nominated)
BAFTAs - Film | Cinematography in 1993 (Nominated)
BAFTAs - Film | Costume Design in 1993 (Nominated)
BAFTAs - Film | David Lean Award for Achievement in Direction in 1993 (Nominated)
BAFTAs - Film | Editing in 1993 (Nominated)
BAFTAs - Film | Film in 1993 (Won)
BAFTAs - Film | Make-Up in 1993 (Nominated)
BAFTAs - Film | Production Design in 1993 (Nominated)
Golden Globes - Best Motion Picture - Drama (Nominated)
Golden Globes - Best Performance by an Actress in a Motion Picture - Drama (Won)
Golden Globes - Best Director - Motion Picture (Nominated)
Golden Globes - Best Screenplay - Motion Picture (Nominated)",21,5,"Oscars - ACTRESS IN A LEADING ROLE (Won)
Oscars - ART DIRECTION (Won)
Oscars - WRITING (Screenplay Based on Material Previously Produced or Published) (Won)
BAFTAs - Film | Film in 1993 (Won)
Golden Globes - Best Performance by an Actress in a Motion Picture - Drama (Won)","Oscars - ACTRESS IN A SUPPORTING ROLE (Nominated)
Oscars - CINEMATOGRAPHY (Nominated)
Oscars - COSTUME DESIGN (Nominated)
Oscars - DIRECTING (Nominated)
Oscars - MUSIC (Original Score) (Nominated)
Oscars - BEST PICTURE (Nominated)
BAFTAs - Film | Adapted Screenplay in 1993 (Nominated)
BAFTAs - Film | Cinematography in 1993 (Nominated)
BAFTAs - Film | Costume Design in 1993 (Nominated)
BAFTAs - Film | David Lean Award for Achievement in Direction in 1993 (Nominated)
BAFTAs - Film | Editing in 1993 (Nominated)
BAFTAs - Film | Make-Up in 1993 (Nominated)
BAFTAs - Film | Production Design in 1993 (Nominated)
Golden Globes - Best Motion Picture - Drama (Nominated)
Golden Globes - Best Director - Motion Picture (Nominated)
Golden Globes - Best Screenplay - Motion Picture (Nominated)","$26,354,917"
indochine,"Drama,Romance,War",75%,84%,"Oscars - ACTRESS IN A LEADING ROLE (Nominated)
Oscars - FOREIGN LANGUAGE FILM (Won)",2,1,Oscars - FOREIGN LANGUAGE FILM (Won),Oscars - ACTRESS IN A LEADING ROLE (Nominated),
innocent blood,"Action,Comedy,Crime",36%,45%,,0,0,,,
interceptor,"Action,Sci-Fi",,16%,,0,0,,,
into the sun,"Action,Comedy,War",,32%,,0,0,,,
jennifer eight,"Crime,Drama,Mystery",39%,39%,,0,0,,,
jersey girl,"Comedy,Drama,Romance",43%,48%,,0,0,,,"$37,066,129"
johnny suede,"Comedy,Drama,Music",27%,47%,,0,0,,,
just another girl on the i.r.t.,"Drama,Romance",68%,83%,,0,0,,,
kuffs,"Action,Comedy,Crime",28%,47%,,0,0,,,"$19,618,135"
ladybugs,"Comedy,Sport",14%,43%,,0,0,,,
the lawnmower man,"Horror,Sci-Fi",37%,31%,,0,0,,,"$32,100,816"
laws of gravity,"Crime,Drama",100%,81%,,0,0,,,
a league of their own,"Comedy,Drama,Sport",81%,84%,,0,0,,,"$132,440,066"
lethal weapon 3,"Action,Crime,Thriller",58%,61%,,0,0,,,"$319,700,000"
the long day closes,"Biography,Drama",82%,77%,,0,0,,,
lorenzo's oil,"Biography,Drama",93%,80%,"Oscars - ACTRESS IN A LEADING ROLE (Nominated)
Oscars - WRITING (Screenplay Written Directly for the Screen) (Nominated)
Golden Globes - Best Performance by an Actress in a Motion Picture - Drama (Nominated)",3,0,,"Oscars - ACTRESS IN A LEADING ROLE (Nominated)
Oscars - WRITING (Screenplay Written Directly for the Screen) (Nominated)
Golden Globes - Best Performance by an Actress in a Motion Picture - Drama (Nominated)",
love field,Drama,40%,55%,"Oscars - ACTRESS IN A LEADING ROLE (Nominated)
Golden Globes - Best Performance by an Actress in a Motion Picture - Drama (Nominated)",2,0,,"Oscars - ACTRESS IN A LEADING ROLE (Nominated)
Golden Globes - Best Performance by an Actress in a Motion Picture - Drama (Nominated)",
bitter moon,"Drama,Romance,Thriller",63%,80%,,0,0,,,
mac,Drama,67%,62%,,0,0,,,
mama,Drama,,,,0,0,,,"$148,095,566"
the mambo kings,"Drama,Music",79%,68%,Oscars - MUSIC (Original Song) (Nominated),1,0,,Oscars - MUSIC (Original Song) (Nominated),
el mariachi,"Action,Crime,Thriller",91%,76%,,0,0,,,
meatballs 4,Comedy,,23%,,0,0,,,
meet the parents,Comedy,85%,79%,Oscars - MUSIC (Original Song) (Nominated),1,0,,Oscars - MUSIC (Original Song) (Nominated),"$330,425,040"
memoirs of an invisible man,"Comedy,Romance,Sci-Fi",26%,32%,,0,0,,,
the mighty ducks,"Comedy,Drama,Family",23%,65%,,0,0,,,"$50,752,337"
mistress,"Comedy,Drama",,,,0,0,,,
mo' money,"Action,Comedy,Crime",16%,51%,,0,0,,,"$40,190,000"
mom and dad save the world,"Adventure,Comedy,Family",12%,44%,,0,0,,,
mr. baseball,"Comedy,Romance,Sport",11%,41%,,0,0,,,"$20,883,046"
mr. saturday night,"Comedy,Drama",59%,38%,"Oscars - ACTOR IN A SUPPORTING ROLE (Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy (Nominated)
Golden Globes - Best Performance by an Actor in a Supporting Role in any Motion Picture (Nominated)",3,0,,"Oscars - ACTOR IN A SUPPORTING ROLE (Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy (Nominated)
Golden Globes - Best Performance by an Actor in a Supporting Role in any Motion Picture (Nominated)",
the muppet christmas carol,"Comedy,Drama,Family",77%,86%,,0,0,,,"$31,724,550"
my cousin vinny,"Comedy,Crime",87%,87%,Oscars - ACTRESS IN A SUPPORTING ROLE (Won),1,1,Oscars - ACTRESS IN A SUPPORTING ROLE (Won),,"$52,929,168"
my new gun,Comedy,44%,40%,,0,0,,,
newsies,"Drama,Family,History",39%,88%,,0,0,,,
only you,"Comedy,Romance",53%,68%,"BAFTAs - Film | Outstanding Debut By A British Writer, Director Or Producer in 2020 (Nominated)",1,0,,"BAFTAs - Film | Outstanding Debut By A British Writer, Director Or Producer in 2020 (Nominated)","$20,042,048"
out on a limb,Comedy,,75%,Golden Globes - Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television (Nominated),1,0,,Golden Globes - Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television (Nominated),
passed away,Comedy,10%,45%,,0,0,,,
passenger 57,"Action,Crime,Thriller",30%,38%,,0,0,,,"$44,065,653"
passion fish,Drama,100%,82%,"Oscars - ACTRESS IN A LEADING ROLE (Nominated)
Oscars - WRITING (Screenplay Written Directly for the Screen) (Nominated)
Golden Globes - Best Performance by an Actress in a Motion Picture - Drama (Nominated)
Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture (Nominated)",4,0,,"Oscars - ACTRESS IN A LEADING ROLE (Nominated)
Oscars - WRITING (Screenplay Written Directly for the Screen) (Nominated)
Golden Globes - Best Performance by an Actress in a Motion Picture - Drama (Nominated)
Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture (Nominated)",
patriot games,"Action,Thriller",72%,73%,,0,0,,,"$178,100,000"
the people under the stairs,"Comedy,Horror,Mystery",70%,61%,,0,0,,,"$24,204,000"
peter's friends,"Comedy,Drama,Romance",65%,77%,,0,0,,,
the playboys,"Drama,Romance",92%,53%,,0,0,,,
the player,"Comedy,Crime,Drama",,,"Oscars - DIRECTING (Nominated)
Oscars - FILM EDITING (Nominated)
Oscars - WRITING (Screenplay Based on Material Previously Produced or Published) (Nominated)
BAFTAs - Film | Adapted Screenplay in 1993 (Won)
BAFTAs - Film | David Lean Award for Achievement in Direction in 1993 (Won)
BAFTAs - Film | Editing in 1993 (Nominated)
BAFTAs - Film | Film in 1993 (Nominated)",7,2,"BAFTAs - Film | Adapted Screenplay in 1993 (Won)
BAFTAs - Film | David Lean Award for Achievement in Direction in 1993 (Won)","Oscars - DIRECTING (Nominated)
Oscars - FILM EDITING (Nominated)
Oscars - WRITING (Screenplay Based on Material Previously Produced or Published) (Nominated)
BAFTAs - Film | Editing in 1993 (Nominated)
BAFTAs - Film | Film in 1993 (Nominated)","$28,876,702"
poison ivy,"Drama,Thriller",,,,0,0,,,
the power of one,"Drama,Sport",39%,87%,,0,0,,,
prelude to a kiss,"Comedy,Fantasy,Romance",63%,39%,,0,0,,,"$22,697,691"
the prom,Drama,,,,0,0,,,
the public eye,"Crime,Drama,Romance",,59%,,0,0,,,
pure country,"Drama,Music,Romance",41%,90%,,0,0,,,
radio flyer,Drama,35%,72%,,0,0,,,
raising cain,"Crime,Drama,Horror",62%,40%,,0,0,,,"$21,171,695"
red rock west,"Crime,Drama,Thriller",98%,75%,,0,0,,,
reservoir dogs,"Crime,Thriller",90%,94%,,0,0,,,
rich in love,Drama,69%,38%,,0,0,,,
sarafina!,"Drama,Musical",60%,86%,,0,0,,,
school ties,Drama,60%,69%,,0,0,,,
shadow of the wolf,"Adventure,Drama,Thriller",,46%,,0,0,,,
shadows and fog,Comedy,54%,55%,,0,0,,,
shining through,"Drama,Romance,Thriller",41%,72%,,0,0,,,"$21,733,781"
sidekicks,"Action,Adventure,Comedy",26%,48%,,0,0,,,
single white female,"Drama,Thriller",53%,44%,,0,0,,,"$48,017,402"
singles,"Comedy,Drama,Music",,,,0,0,,,"$18,471,850"
sister act,"Comedy,Family,Music",76%,65%,"Golden Globes - Best Motion Picture - Musical or Comedy (Nominated)
Golden Globes - Best Performance by an Actress in a Motion Picture - Musical or Comedy (Nominated)",2,0,,"Golden Globes - Best Motion Picture - Musical or Comedy (Nominated)
Golden Globes - Best Performance by an Actress in a Motion Picture - Musical or Comedy (Nominated)","$231,600,000"
sleepwalkers,"Fantasy,Horror",29%,32%,,0,0,,,"$30,524,763"
sneakers,"Comedy,Crime,Drama",80%,80%,,0,0,,,"$51,433,000"
south central,"Crime,Drama",75%,83%,,0,0,,,
stay tuned,"Adventure,Comedy,Fantasy",44%,55%,,0,0,,,
stop! or my mom will shoot,"Action,Comedy",14%,21%,,0,0,,,"$70,411,000"
straight talk,"Comedy,Drama,Romance",46%,58%,,0,0,,,"$21,202,099"
sunset strip,"Drama,Thriller",,,,0,0,,,
swoon,"Crime,Drama",73%,65%,,0,0,,,
the taking of beverly hills,"Action,Thriller",40%,36%,,0,0,,,
that night,"Drama,Romance",67%,79%,BAFTAs - Film | Film From Any Source in 1958 (Nominated),1,0,,BAFTAs - Film | Film From Any Source in 1958 (Nominated),
this is my life,Drama,36%,49%,,0,0,,,
thunderheart,"Crime,Mystery,Thriller",90%,75%,,0,0,,,"$22,660,758"
tom and jerry: the movie,"Adventure,Animation,Comedy",14%,41%,,0,0,,,
toys,"Adventure,Comedy,Drama",29%,39%,"Oscars - ART DIRECTION (Nominated)
Oscars - COSTUME DESIGN (Nominated)
BAFTAs - Film | Animated Film in 1968 (Nominated)",3,0,,"Oscars - ART DIRECTION (Nominated)
Oscars - COSTUME DESIGN (Nominated)
BAFTAs - Film | Animated Film in 1968 (Nominated)","$21,452,082"
traces of red,"Crime,Drama,Mystery",29%,44%,,0,0,,,
trespass,"Action,Thriller",70%,47%,,0,0,,,
troll 2,"Comedy,Fantasy,Horror",5%,45%,,0,0,,,
the turning,Drama,86%,54%,,0,0,,,"$18,460,739"
twin peaks: fire walk with me,"Drama,Horror,Mystery",63%,78%,,0,0,,,
under siege,"Action,Thriller",80%,62%,"Oscars - SOUND (Nominated)
Oscars - SOUND EFFECTS EDITING (Nominated)",2,0,,"Oscars - SOUND (Nominated)
Oscars - SOUND EFFECTS EDITING (Nominated)","$156,563,139"
unforgiven,"Drama,Western",,,"Oscars - ACTOR IN A LEADING ROLE (Nominated)
Oscars - ACTOR IN A SUPPORTING ROLE (Won)
Oscars - ART DIRECTION (Nominated)
Oscars - CINEMATOGRAPHY (Nominated)
Oscars - DIRECTING (Won)
Oscars - FILM EDITING (Won)
Oscars - BEST PICTURE (Won)
Oscars - SOUND (Nominated)
Oscars - WRITING (Screenplay Written Directly for the Screen) (Nominated)
BAFTAs - Film | David Lean Award for Achievement in Direction in 1993 (Nominated)
BAFTAs - Film | Film in 1993 (Nominated)
BAFTAs - Film | Original Screenplay in 1993 (Nominated)
BAFTAs - Film | Sound in 1993 (Nominated)
Golden Globes - Best Motion Picture - Drama (Nominated)
Golden Globes - Best Performance by an Actor in a Supporting Role in any Motion Picture (Won)
Golden Globes - Best Director - Motion Picture (Won)
Golden Globes - Best Screenplay - Motion Picture (Nominated)",17,6,"Oscars - ACTOR IN A SUPPORTING ROLE (Won)
Oscars - DIRECTING (Won)
Oscars - FILM EDITING (Won)
Oscars - BEST PICTURE (Won)
Golden Globes - Best Performance by an Actor in a Supporting Role in any Motion Picture (Won)
Golden Globes - Best Director - Motion Picture (Won)","Oscars - ACTOR IN A LEADING ROLE (Nominated)
Oscars - ART DIRECTION (Nominated)
Oscars - CINEMATOGRAPHY (Nominated)
Oscars - SOUND (Nominated)
Oscars - WRITING (Screenplay Written Directly for the Screen) (Nominated)
BAFTAs - Film | David Lean Award for Achievement in Direction in 1993 (Nominated)
BAFTAs - Film | Film in 1993 (Nominated)
BAFTAs - Film | Original Screenplay in 1993 (Nominated)
BAFTAs - Film | Sound in 1993 (Nominated)
Golden Globes - Best Motion Picture - Drama (Nominated)
Golden Globes - Best Screenplay - Motion Picture (Nominated)","$159,157,447"
universal soldier,"Action,Sci-Fi",34%,46%,,0,0,,,"$36,299,898"
unlawful entry,"Crime,Drama,Thriller",76%,49%,,0,0,,,"$57,138,719"
used people,"Comedy,Drama,Romance",44%,39%,"Golden Globes - Best Performance by an Actress in a Motion Picture - Musical or Comedy (Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy (Nominated)",2,0,,"Golden Globes - Best Performance by an Actress in a Motion Picture - Musical or Comedy (Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy (Nominated)","$17,957,265"
the waterdance,"Comedy,Drama,Romance",94%,63%,,0,0,,,
wayne's world,"Comedy,Music",79%,84%,,0,0,,,"$183,097,323"
where the day takes you,"Crime,Drama,Thriller",80%,73%,,0,0,,,
whispers in the dark,"Drama,Mystery,Thriller",33%,72%,,0,0,,,
white men can't jump,"Comedy,Sport",75%,69%,,0,0,,,"$90,753,806"
white sands,"Action,Crime,Drama",44%,41%,,0,0,,,
year of the comet,"Action,Adventure,Comedy",0%,51%,,0,0,,,
zebrahead,"Drama,Romance",75%,69%,,0,0,,,
addams family values,"Comedy,Fantasy",75%,63%,"Oscars - ART DIRECTION (Nominated)
BAFTAs - Film | Make-Up in 1994 (Nominated)
Golden Globes - Best Performance by an Actress in a Motion Picture - Musical or Comedy (Nominated)",3,0,,"Oscars - ART DIRECTION (Nominated)
BAFTAs - Film | Make-Up in 1994 (Nominated)
Golden Globes - Best Performance by an Actress in a Motion Picture - Musical or Comedy (Nominated)","$46,293,855"
the adventures of huck finn,"Adventure,Comedy,Drama",75%,50%,,0,0,,,"$24,103,594"
alive,"Biography,Drama,Thriller",,,,0,0,,,"$36,299,670"
amos & andrew,"Comedy,Crime",17%,31%,,0,0,,,
angel eyes,"Crime,Drama,Horror",,31%,,0,0,,,"$29,544,532"
angie,"Crime,Thriller",53%,33%,Golden Globes - Best Performance by an Actress in a Television Series - Musical or Comedy (Nominated),1,0,,Golden Globes - Best Performance by an Actress in a Television Series - Musical or Comedy (Nominated),
another stakeout,"Comedy,Crime",16%,28%,,0,0,,,"$20,107,504"
army of darkness,"Comedy,Horror",68%,87%,,0,0,,,"$21,502,976"
aspen extreme,"Drama,Romance,Sport",22%,67%,,0,0,,,
backbeat,"Biography,Drama,Music",68%,67%,"BAFTAs - Film | Alexander Korda Award for the outstanding British Film of the Year in 1995 (Nominated)
BAFTAs - Film | Anthony Asquith Award for Original Film Music in 1995 (Won)
BAFTAs - Film | Sound in 1995 (Nominated)",3,1,BAFTAs - Film | Anthony Asquith Award for Original Film Music in 1995 (Won),"BAFTAs - Film | Alexander Korda Award for the outstanding British Film of the Year in 1995 (Nominated)
BAFTAs - Film | Sound in 1995 (Nominated)",
the ballad of little jo,"Drama,Romance,Western",77%,62%,,0,0,,,
batman: mask of the phantasm,"Action,Adventure,Animation",83%,88%,,0,0,,,
beethoven's 2nd,"Comedy,Family,Romance",23%,31%,"Oscars - MUSIC (Original Song) (Nominated)
Golden Globes - Best Original Song - Motion Picture (Nominated)",2,0,,"Oscars - MUSIC (Original Song) (Nominated)
Golden Globes - Best Original Song - Motion Picture (Nominated)",
being human,"Comedy,Drama",54%,42%,,0,0,,,
benefit of the doubt,Thriller,0%,19%,,0,0,,,
benny & joon,"Comedy,Drama,Romance",76%,85%,Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy (Nominated),1,0,,Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy (Nominated),"$23,202,734"
best of the best ii,"Action,Crime,Drama",10%,47%,,0,0,,,
"bodies, rest & motion",Drama,53%,50%,,0,0,,,
body snatchers,"Horror,Sci-Fi",71%,45%,,0,0,,,
body of evidence,"Drama,Thriller",8%,23%,,0,0,,,
bopha!,Drama,82%,67%,,0,0,,,
boys from brazil,Documentary,,,,0,0,,,
cb4,"Comedy,Music",52%,62%,,0,0,,,
carlito's way,"Crime,Drama,Thriller",84%,91%,"Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture (Nominated)
Golden Globes - Best Performance by an Actor in a Supporting Role in any Motion Picture (Nominated)",2,0,,"Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture (Nominated)
Golden Globes - Best Performance by an Actor in a Supporting Role in any Motion Picture (Nominated)",
carnosaur,"Horror,Sci-Fi",18%,23%,,0,0,,,
the cemetery club,Comedy,,,,0,0,,,
children of the corn ii: the final sacrifice,"Horror,Thriller",30%,20%,,0,0,,,
coneheads,"Comedy,Sci-Fi",35%,37%,,0,0,,,"$21,153,686"
crossover,Horror,2%,59%,,0,0,,,
snake eyes,Drama,43%,35%,,0,0,,,"$103,891,409"
the dark half,"Horror,Mystery,Thriller",62%,41%,,0,0,,,
dave,"Comedy,Romance",95%,72%,"Oscars - WRITING (Screenplay Written Directly for the Screen) (Nominated)
Golden Globes - Best Motion Picture - Musical or Comedy (Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy (Nominated)",3,0,,"Oscars - WRITING (Screenplay Written Directly for the Screen) (Nominated)
Golden Globes - Best Motion Picture - Musical or Comedy (Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy (Nominated)","$63,270,710"
dazed and confused,Comedy,93%,90%,,0,0,,,
demolition man,"Action,Sci-Fi,Thriller",63%,67%,,0,0,,,"$159,055,768"
dennis the menace,"Comedy,Family",27%,38%,,0,0,,,"$117,270,765"
double dragon,"Action,Adventure,Comedy",12%,26%,,0,0,,,
dragon: the bruce lee story,"Action,Biography,Drama",74%,79%,,0,0,,,"$35,112,679"
ed and his dead mother,"Comedy,Horror",50%,51%,,0,0,,,
ernest rides again,"Comedy,Family",14%,42%,,0,0,,,
even cowgirls get the blues,"Comedy,Drama,Romance",17%,28%,,0,0,,,
extreme justice,"Action,Crime,Drama",,31%,,0,0,,,
falling down,"Crime,Drama,Thriller",75%,84%,,0,0,,,"$40,903,593"
father hood,"Adventure,Comedy,Crime",10%,34%,,0,0,,,
fear of a black hat,"Comedy,Music",83%,87%,,0,0,,,
fearless,"Drama,Thriller",73%,86%,"Oscars - ACTRESS IN A SUPPORTING ROLE (Nominated)
Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture (Nominated)",2,0,,"Oscars - ACTRESS IN A SUPPORTING ROLE (Nominated)
Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture (Nominated)",
fire in the sky,"Biography,Drama,Fantasy",52%,57%,,0,0,,,"$19,724,334"
flesh and bone,"Drama,Mystery,Romance",70%,42%,,0,0,,,
free willy,"Adventure,Drama,Family",71%,50%,,0,0,,,"$153,698,625"
geronimo: an american legend,"Drama,History,Western",50%,52%,Oscars - SOUND (Nominated),1,0,,Oscars - SOUND (Nominated),"$18,296,646"
ghost in the machine,"Horror,Sci-Fi,Thriller",10%,23%,,0,0,,,
the good son,"Drama,Thriller",25%,54%,,0,0,,,"$44,456,478"
groundhog day,"Comedy,Drama,Fantasy",94%,88%,BAFTAs - Film | Original Screenplay in 1994 (Won),1,1,BAFTAs - Film | Original Screenplay in 1994 (Won),,"$71,112,677"
grumpy old men,"Comedy,Drama,Romance",65%,74%,,0,0,,,"$70,172,621"
guilty as sin,"Crime,Drama,Thriller",38%,43%,,0,0,,,"$22,622,537"
hard target,"Action,Crime,Thriller",60%,49%,,0,0,,,"$31,636,358"
hear no evil,Thriller,20%,35%,,0,0,,,
heart and souls,"Comedy,Drama,Fantasy",58%,76%,,0,0,,,
hexed,"Comedy,Crime,Mystery",9%,36%,,0,0,,,
